Latitude,Longitude,id,Name,Healthlink,Address,Phone,Fax,Email,Date Of La,COUNTY_ENG,SUPPLY,xcoord,ycoord
53.288260999999999,-6.256167,2324,Churchtown Family Practice,2324,"111d Beaumont Avenue, Dublin 14, D14 X5R5",01 2051010 988122,01 2051001,,27-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.256443999,53.28825714
53.328988000000003,-6.323543,1167,Errigal Road Surgery,1167,"112 Errigal Road, Dublin 12, D12 T286",01 4559157 811413 087 2808765,01 4556299,,08-Apr-22,DUBLIN CITY,1.09,-6.323712068,53.32894918
53.327238999999999,-6.303757,1961,HSE  - Addiction Service - The Lodge,1961,"112 Old County Road, Dublin 12, D12 W827",076 6957407 917474,076 6957418,,05-Apr-22,DUBLIN CITY,1.09,-6.303859155,53.32739016
53.306154999999997,-6.268759,2269,Nursing Home - Orwell House,2269,"112 Orwell Road, Dublin 6, D06 TN66",01 4922142 923321,01 4903352,,27-Apr-22,DUBLIN CITY,1.09,-6.2686738,53.3063085
53.323377999999998,-6.23834,1790,General Practice Donnybrook,1790,"114 Morehampton Road, Dublin 4, D04 K3H7",01 6677036 884615 086 8368855,01 6677037,,22-Apr-22,DUBLIN CITY,1.09,-6.238434503,53.32345121
53.343749000000003,-6.288424,1882,Centric Health St James Gate Medical Centre,1882,"114-116 James's Street, Dublin 8, D08 KXN8",01 2150276 956046 087 2350635,01 4084828,stjames.gate@centrichealth.ie,22-Apr-22,DUBLIN CITY,1.09,-6.288492211,53.34391671
53.316960999999999,-6.322852,1160,Shackleton & Behan Family Doctors,1160,"115 Cromwell's Fort Road, Dublin 12, D12 YR27",01 4602263 86590 086 8505463,01 4197966,,08-Apr-22,DUBLIN CITY,1.09,-6.32290088,53.31672755
53.323369000000000,-6.23924,1739,Dr Ian O'Grady,1739,"115 Morehampton Road, Dublin 4, D04 A6Y8",01 2693347 649214,01 2693477,,15-Apr-22,DUBLIN CITY,1.09,-6.239410772,53.32350904
53.387194000000001,-6.2122,2144,Dr John Taylor,2144,"117a Ardlea Road, Dublin 5, D05 N7F3",01 8475037 194547 087 0506237,01 8483623,,27-Apr-22,DUBLIN CITY,1.09,-6.212236452,53.38697718
53.389214000000003,-6.116798,5153,Dr John McGuinness,5153,"118 Dublin Road, Sutton, Dublin 13, D13 K2K7",680958 085 2527204,,,27-Apr-22,FINGAL,2.212,-6.116761515,53.38883912
53.307378000000000,-6.300454,4282,Greenlea Clinic,0,"118 Greenlea Road, Dublin 6w, D6W WY18",01 4908979 051437,01 4920273,,27-Apr-22,DUBLIN CITY,1.09,-6.300515448,53.30736552
53.332056999999999,-6.275732,2470,Eldon Family Practice,2470,"119 South Circular Road, Dublin 8, D08 VC0H",01 4533745 791708,01 4544819,,11-Apr-22,DUBLIN CITY,1.09,-6.275800829,53.332206
53.300379000000000,-6.263447,1467,Braemor Family Practice,1467,"119b Braemor Road, Dublin 14, D14 VK46",01 2985002 429649,01 2985002,delia@braemor.net,15-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.263362727,53.30031391
53.358547000000002,-6.269713,4303,Other - Mater Private Rooms,0,"12 Berkeley Road, Dublin 7, D07 K232",01 8997010,,katie.naessens@materprivate.ie,08-Apr-20,DUBLIN CITY,1.09,-6.269641636,53.35846995
53.288749000000003,-6.347614,1579,Dr Patrick O'Connor,1579,"12 Glenview Park, Dublin 24, D24 WK33",01 4515018 077215 087 2471098,01 4515018,,15-Apr-22,SOUTH DUBLIN,2.264,-6.347277461,53.28876749
53.270305000000000,-6.249379,2565,Dr. James Moloney,0,"12 Kingston Avenue, Dublin 16, D16 V2Y9",01 2981922 187792,01 2981922,,11-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.2494252,53.2705306
53.289217000000001,-6.130025,1826,Harbour Health,1826,"1-2 Lower Glenageary Road, Dun Laoghaire, Co Dublin, A96 AE76",01 2802594 267326 086 6042320,01 2140762,info@harbourhealth.ie,22-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.129810575,53.28916178
53.315111000000002,-6.243515,2471,Dr Rachel Kidney,2471,"12 Ramleh Park, Dublin 6, D06 R9F2",01 4284821 526652 0872025163,,,11-Apr-22,DUBLIN CITY,1.09,-6.243539491,53.3149625
53.316423999999998,-6.321417,3621,The Little John Clinic,0,"122a Cromwell's Fort Road, Dublin 12, D12 KT62",01 4560300 506203,01 455 6665,,27-Apr-22,SOUTH DUBLIN,2.264,-6.321373749,53.31660958
53.385187999999999,-6.26564,1049,College Gate Clinic,1049,"123 Ballymun Road, Dublin 9, D09 W523",01 8570498  260860 087 2847587,01 8367225,collegegateclinic@eircom.net,07-Apr-22,DUBLIN CITY,1.09,-6.26562548,53.38526918
53.296644000000001,-6.253911,1505,Rowan Family Practice,1505,"123 Churchtown Road Lower, Dublin 14, D14 E840",01 2951238 919669 086 3702694,01 2964252,,15-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.253899522,53.29676657
53.341999000000001,-6.275519,5067,Dr Anetta Sempka,3558,"127-129 Francis Street, Dublin 8, D08 KV22",01 7078758 769196,,,27-Apr-22,DUBLIN CITY,1.09,-6.27530179,53.34205257
53.377350999999997,-6.22418,3573,Dr Hampston,0,"128 Collins Avenue, Dublin 9, D09 Y367",01 8314303 211886,,,27-Apr-22,DUBLIN CITY,1.09,-6.223971483,53.3772931
53.244594999999997,-6.133964,1714,Orsmond Clinics,1714,"13 Loughlinstown Road, Loughlinstown, Dublin 18, D18 VOR1",01 2827500 83827,,info@orsmondclinics.com,15-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.133879028,53.24451349
53.364266000000001,-6.232049,2697,Dr Joseph Yasbeck,0,"13 Marino Mart, Dublin 3, D03 X5V2",01 8337622 582726,,,12-Apr-22,DUBLIN CITY,1.09,-6.231921845,53.36429832
53.344830999999999,-6.273692,4307,Other - SafetyNet - GMQ Medical,0,"13/14 Merchant's Quay, Dublin 8, D08 KT61",01 4432476 390680,,,06-Apr-22,DUBLIN CITY,1.09,-6.273638508,53.34508675
53.334412999999998,-6.319508,3253,Galtymore Medical Centre,0,"131 Galtymore Road, Dublin 12, D12 HX4A",01 4504168 712017,01 4783175,D12doc@eircom.net,26-Apr-22,DUBLIN CITY,1.09,-6.31968285,53.33452006
53.312184000000002,-6.327149,1208,Drs Canwell and Spillane,1208,"133 Saint Peter's Road, Dublin 12, D12 XN9F",01 4504173 192055,01 4783175,D12doc@eircom.net,08-Apr-22,SOUTH DUBLIN,2.264,-6.327339954,53.31211474
53.318925000000000,-6.33198,1159,Walkinstown Medical Centre,1159,"133 Walkinstown Road, Dublin 12, D12 PX7A",01 4501558 338071,01 4603888,,08-Apr-22,DUBLIN CITY,1.09,-6.332248724,53.31898346
53.353847000000002,-6.258731,3400,Parnell Medical Surgery,3400,"135 Parnell Street, Dublin 1, D01 K0T2",288383,,,26-Apr-22,DUBLIN CITY,1.09,-6.258644083,53.35375252
53.347859999999997,-6.26873,2426,Capel Street Medical Centre,2426,"138 Capel Street, Dublin 1, D01 C4E9",01 549 6267 915944 083 8829881,,,11-Apr-22,DUBLIN CITY,1.09,-6.268585734,53.34787991
53.377493999999999,-6.224647,1062,Collins Ave GP,1062,"138 Collins Avenue, Dublin 9, D09 W7W3",01 8328692 981635,01 8327103,infomelmcevoy@eircom.net,07-Apr-22,DUBLIN CITY,1.09,-6.224806822,53.37753593
53.385666000000001,-6.250516,1618,Crestfield Medical Practice,1618,"14 Crestfield Drive, Dublin 9, D09 NY94",01 8370295  01 8842730 517582,01 8842731,,15-Apr-22,DUBLIN CITY,1.09,-6.250789163,53.38568959
53.362316000000000,-6.259277,4112,United Medical Centre,0,"14 Drumcondra Road Lower, Dublin 9, D09 E2H2",01 860048 909134,,,27-Apr-22,DUBLIN CITY,1.09,-6.259046498,53.36224159
53.363712999999997,-6.209599,4191,Clontarf Family Practice,4191,"14 Kincora Avenue, Clontarf, Dublin 3, D03 T2W2",01 8331650 666808 087 9077117,01 4416777,clontarfmed@gmail.com,27-Apr-22,DUBLIN CITY,1.09,-6.20963549,53.36353057
53.458634000000004,-6.220639,2478,Adrewendomed Medical Ltd,0,"14 Main Street, Swords, Co. Dublin, K67 X2C8",01 8084254 807614,,,11-Apr-22,FINGAL,2.212,-6.22032035,53.45857083
53.351053000000000,-6.3788,1265,Medical Centre,1265,"14 Palmerstown Park, Dublin 20, D20 YD43",01 6268546 351285,01 6234266,cohjon@ireland.com,08-Apr-22,SOUTH DUBLIN,2.264,-6.378714871,53.35093256
53.281401000000002,-6.364938,3255,Dr Ling,3255,"14 Watermeadow Park, Dublin 24, D24 NW0D",01 4511852 546179,01 4511852,,26-Apr-22,SOUTH DUBLIN,2.264,-6.365044947,53.28128231
53.343138000000003,-6.291259,4194,Hostel  - Depaul Sundial House,0,"140 James's Street, Dublin 8, D08 KN25",01 6339226 746661,,,27-Apr-22,DUBLIN CITY,1.09,-6.291208559,53.34305113
53.338051999999998,-6.266182,1317,Aungier Street Clinic,1317,"14-16 Redmond's Hill, Dublin 2, D02 RP46",01 4005708 362847,01 4005709,doctor@aungierclinic.ie,08-Apr-22,DUBLIN CITY,1.09,-6.265963105,53.33808047
53.327081999999997,-6.306117,3256,Dr Synott,3256,"144 Old County Road, Dublin 12, D12 XFP6",01 4554684 382074 086 8215097,01 4558238,,26-Apr-22,DUBLIN CITY,1.09,-6.305858488,53.32706327
53.368820999999997,-6.239077,1926,Marino Medical Centre,1926,"144 Philipsburgh Avenue, Dublin 3, D03 R6X6",01 8374730 059716 085 7200040,,,22-Apr-22,DUBLIN CITY,1.09,-6.239345915,53.36886067
53.355274999999999,-6.234917,1390,East Wall Medical Centre,1390,"145 Church Road, Dublin 3, D03 X894",01 8365505 429540,01 8349985,eastwalldoc@eircom.net,12-Apr-22,DUBLIN CITY,1.09,-6.23479085,53.35521972
53.316246000000000,-6.388711,2389,Webdoctor,2389,"14A Knockmeenagh Road, Dublin 22, D22 Y793",01 459 5132 758756,01 459 5132,,27-Apr-22,SOUTH DUBLIN,2.264,-6.388601813,53.31604025
53.365741000000000,-6.228133,5091,Dr Patrick Lee,5091,"14b Crescent Place, Malahide Road, Dublin 3, D03 R9X0",142395,,,27-Apr-22,DUBLIN CITY,1.09,-6.228140084,53.36590174
53.340316999999999,-6.32021,1186,Inchicore Medical Centre,1186,"15 Grattan Crescent, Dublin 8, D08 EWF2",01 4734030 770239,01 4535125,info@inchicoredoctors.ie & mary.howes@healthmail.ie,08-Apr-22,DUBLIN CITY,1.09,-6.320369074,53.34035938
53.344898999999998,-6.249538,1303,Pearse Street Primary Care Centre,1303,"15 Mark's Lane, Dublin 2, D02 TD23",01 6777781 858562,01 6708876,,06-Apr-22,DUBLIN CITY,1.09,-6.249546704,53.34486018
53.451979999999999,-6.1545,1056,Malahide Family Practice,1056,"15 Strand Street, Malahide, Co. Dublin, K36 A625",01 8454265 082929,01 8455579,reception@malahidefp.ie,07-Apr-22,FINGAL,2.212,-6.154512805,53.45207903
53.316750999999996,-6.270332,3257,The Rathgar Medical Pratice,3257,"150 Rathgar Road, Dublin 6, D06 YP29",01 4977106 269719,01 4964896,,26-Apr-22,DUBLIN CITY,1.09,-6.270700093,53.31684631
53.339688000000002,-6.224999,5358,Mental Health GP Clinic,5358,"152 Rosary Terrace, Stella Gardens, Dublin 4, D04 YP86",086 194 5512 850672,,,07-Apr-22,DUBLIN CITY,1.09,-6.224817566,53.33972631
53.330675999999997,-6.3247,4103,Dr Helen Fenton,0,"154 Cooley Road, Dublin 12, D12 YR99",01 4556976 652870,,,27-Apr-22,DUBLIN CITY,1.09,-6.324883754,53.33054604
53.344061000000004,-6.265167,1370,Dame Street Medical Centre,1370,"16 Dame Street, Dublin 2, D02 TD50",01 6790754 371320,01 6729487,,12-Apr-22,DUBLIN CITY,1.09,-6.265165049,53.34417456
53.344061000000004,-6.265167,5534,Other - Dame Street Denta,5534,"16 Dame Street, Dublin 2, D02 TD50",,,,08-Feb-22,DUBLIN CITY,1.09,-6.265165049,53.34417456
53.376483000000000,-6.21763,1486,Dr Barry Teeling,1486,"16 Maypark, Malahide Road, Dublin 5, D05 C9N4",01 8328225 061702,01 8328225,,15-Apr-22,DUBLIN CITY,1.09,-6.217482055,53.37638421
53.390180999999998,-6.278406,1563,JPM Chambers,1563,"167 Glasnevin Avenue, Dublin 11, D11 YK5N",01 8427585 695501 087 2023840,01 8161192,,15-Apr-22,DUBLIN CITY,1.09,-6.278364407,53.39041528
53.394863999999998,-6.381593,4183,Dr Mohsin Khan,4183,"169 Edgewood Lawns, Dublin 15, D15 X6FW",01 8200576 958514,01 8204416,,27-Apr-22,FINGAL,2.212,-6.381743649,53.39496945
53.376776000000000,-6.362763,1697,Dr Robert Nelson,1697,"17 Beechpark Avenue, Dublin 15, D15 HP5H",01 8213195 021300,01 8213196,,15-Apr-22,FINGAL,2.212,-6.362442134,53.37668093
53.362813000000003,-6.23788,1267,Fairview Family Practice,1267,"17 Fairview Strand, Dublin 3, D03 A5Y9",01 8331086 186115,01 8338693,geraldinegleafure@ffp.ie,08-Apr-22,DUBLIN CITY,1.09,-6.237651955,53.36282048
53.458463000000002,-6.219893,1021,The Plaza Clinic,1021,"17 Main Street, Swords, Co. Dublin, K67 H3K4",01 8902414 244532,01 8902413,,07-Apr-22,FINGAL,2.212,-6.220009797,53.45829049
53.289572000000000,-6.243567,1869,Dr Bent and Kinsella,1869,"17 Pembroke Cottages, Main Street, Dundrum, Dublin 14, D14 X2T7",01 2980226 695686 086 3218019,01 2989053,,22-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.2434203,53.28962252
53.384909000000000,-6.383164,2029,Other - Femplus Clinic,2029,"171 Roselawn Road, Dublin 15, D15 A7KN",01 8210999 704692 087 6748091,01 8210110,info@femplus.ie,05-Apr-22,FINGAL,2.212,-6.382950311,53.38479472
53.307564999999997,-6.319306,1199,Perrystown Family Practice,1199,"171 Whitehall Road, Dublin 12, D12 P030",01 4562034 888279,,,08-Apr-22,SOUTH DUBLIN,2.264,-6.319464709,53.30750833
53.325051000000002,-6.29665,3258,Dr Catherine King,3258,"172 Sundrive Road, Dublin 12, D12 V2CY",01 4534671 723075,01 4736473,,26-Apr-22,DUBLIN CITY,1.09,-6.296588736,53.32495275
53.342320999999998,-6.29486,1203,Saint James Medical Centre,0,"178 James's Street, Dublin 8, D08 H60F",01 6770757 35932,01 6770857,,08-Apr-22,DUBLIN CITY,1.09,-6.294769648,53.34219816
53.391663000000001,-6.419981,2736,Dr Eric Dilworth,2736,"17a Cherryfield Lawn, Dublin 15, D15 N729",01 8204166 055602,01 8204166,,19-Apr-22,FINGAL,2.212,-6.419654088,53.39167125
53.402315999999999,-6.152267,4246,Clongriffin Medical Centre,4246,"17a Main Street, Clongriffin, Dublin 13, D13 N2Y4",01 8285492  344331 089 4475108,01 8285493,,27-Apr-22,DUBLIN CITY,1.09,-6.152231046,53.40244719
53.322878000000003,-6.265954,1263,Rafter Medical Centre,1263,"183 Rathmines Road Lower, Dublin 6, D06 E3E5",01 4974747 252179,01 4972111,,08-Apr-22,DUBLIN CITY,1.09,-6.265906888,53.32275097
53.298191000000003,-6.30367,2445,Templeogue Village Medical,2445,"184 Templeogue Road, Dublin 6W, D6W WN53",01 5653328 195766 086 8527797,01 4906264,drsarahmhennessy@yahoo.ie,11-Apr-22,SOUTH DUBLIN,2.264,-6.303785555,53.29841397
53.361603000000002,-6.291025,1816,Sirona Medical,1816,"185 Cabra Road, Dublin 7, D07 FR52",01 8680242 211350 086 3714155,01 8683399,,22-Apr-22,DUBLIN CITY,1.09,-6.290706741,53.36152863
53.373095999999997,-6.220811,1407,Helena Butterfield,1407,"188 Malahide Road, Dublin 3, D03 KT96",01 8310762,01 8310762,,10-Feb-21,DUBLIN CITY,1.09,-6.220955415,53.37293223
53.290467999999997,-6.244694,2584,Dr. Stephen Mulvey,0,"18b Main Street, Dundrum, Dublin 14, D14 Y950",01 2980458 141664,01 2980458,,11-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.244659317,53.29042694
53.326130999999997,-6.410747,1675,Ashwood Surgery,1675,"19 Ashwood Road, Dublin 22, D22 E9K6",01 4573335 197784 086 262 0961,01 4577260,ashwoodsurgery19@eircom.net,15-Apr-22,SOUTH DUBLIN,2.264,-6.410795987,53.32598329
53.298383000000001,-6.361147,1162,Tallaght Medical Centre,1162,"19 Redwood View, Dublin 24, D24 X6NW",01 4513589 608457,01 4610817,anitamahon2@hotmail.com,08-Apr-22,SOUTH DUBLIN,2.264,-6.3611049,53.2981918
53.335760999999998,-6.270272,1275,HSE - Meath Day Care Unit,1275,"1-9 The Meath Primary Care Centre, Heytesbury Street, Dublin 8, D08 Y1TW",076 6958282 087 6596068 795713,01 6699515,,08-Apr-22,DUBLIN CITY,1.09,-6.270303289,53.33595494
53.335760999999998,-6.270272,1300,HSE - Meath Day Care Unit,1300,"1-9 The Meath Primary Care Centre, Heytesbury Street, Dublin 8, D08 Y1TW",01 7077909 795713 086 1078959,01 7070953,netta.odoherty@hse.ie,08-Apr-22,DUBLIN CITY,1.09,-6.270303289,53.33595494
